model,n_test,accuracy,precision,recall,f1,roc_auc,tpr,fpr,tp,fp,tn,fn,eval_seconds
RandomForest,82332,0.8539692950493125,0.7995898616682556,0.9805435453983941,0.8808695738335166,0.9794976059510493,0.9805435453983941,0.3011081081081081,44450,11141,25859,882,0.47
MLP,82332,0.8484550357090803,0.7988176443838109,0.9687417276978735,0.8756118715543282,0.9701174270427668,0.9687417276978735,0.2989189189189189,43915,11060,25940,1417,0.18
