model,n_test,accuracy,precision,recall,f1,roc_auc,tpr,fpr,tp,fp,tn,fn,eval_seconds
CIC_RandomForest,703245,0.7035471279568287,0.9988589571860892,0.2787455481218179,0.4358586500915976,0.6798322754304416,0.2787455481218179,0.00022204951704230043,80536,92,414230,208387,3.14
CIC_MLP,703245,0.7069897404176354,0.8993301527637222,0.32295801995687434,0.47524944101783145,0.7116312341054631,0.32295801995687434,0.025209860929422043,93310,10445,403877,195613,1.5
